"","Date","Open","Close","Gibanje"
"1",2016-07-01,17924.24,17949.37,1
"2",2016-06-30,17712.76,17929.99,1
"3",2016-06-29,17456.02,17694.68,1
"4",2016-06-28,17190.51,17409.72,1
"5",2016-06-27,17355.21,17140.24,0
"6",2016-06-24,17946.63,17400.75,0
"7",2016-06-23,17844.11,18011.07,1
"8",2016-06-22,17832.67,17780.83,0
"9",2016-06-21,17827.33,17829.73,1
"10",2016-06-20,17736.87,17804.87,1
"11",2016-06-17,17733.44,17675.16,0
"12",2016-06-16,17602.23,17733.1,1
"13",2016-06-15,17703.65,17640.17,0
"14",2016-06-14,17710.77,17674.82,0
"15",2016-06-13,17830.5,17732.48,0
"16",2016-06-10,17938.82,17865.34,0
"17",2016-06-09,17969.98,17985.19,1
"18",2016-06-08,17931.91,18005.05,1
"19",2016-06-07,17936.22,17938.28,1
"20",2016-06-06,17825.69,17920.33,1
"21",2016-06-03,17799.8,17807.06,1
"22",2016-06-02,17789.05,17838.56,1
"23",2016-06-01,17754.55,17789.67,1
"24",2016-05-31,17891.5,17787.2,0
"25",2016-05-27,17826.85,17873.22,1
"26",2016-05-26,17859.52,17828.29,0
"27",2016-05-25,17735.09,17851.51,1
"28",2016-05-24,17525.19,17706.05,1
"29",2016-05-23,17507.04,17492.93,0
"30",2016-05-20,17437.32,17500.94,1
"31",2016-05-19,17514.16,17435.4,0
"32",2016-05-18,17501.28,17526.62,1
"33",2016-05-17,17701.46,17529.98,0
"34",2016-05-16,17531.76,17710.71,1
"35",2016-05-13,17711.12,17535.32,0
"36",2016-05-12,17722.01,17720.5,0
"37",2016-05-11,17919.03,17711.12,0
"38",2016-05-10,17726.66,17928.35,1
"39",2016-05-09,17743.85,17705.91,0
"40",2016-05-06,17650.3,17740.63,1
"41",2016-05-05,17664.48,17660.71,0
"42",2016-05-04,17735.02,17651.26,0
"43",2016-05-03,17870.75,17750.91,0
"44",2016-05-02,17783.78,17891.16,1
"45",2016-04-29,17813.09,17773.64,0
"46",2016-04-28,18023.88,17830.76,0
"47",2016-04-27,17996.14,18041.55,1
"48",2016-04-26,17987.38,17990.32,1
"49",2016-04-25,17990.94,17977.24,0
"50",2016-04-22,17985.05,18003.75,1
"51",2016-04-21,18092.84,17982.52,0
"52",2016-04-20,18059.49,18096.27,1
"53",2016-04-19,18012.1,18053.6,1
"54",2016-04-18,17890.2,18004.16,1
"55",2016-04-15,17925.95,17897.46,0
"56",2016-04-14,17912.25,17926.43,1
"57",2016-04-13,17741.66,17908.28,1
"58",2016-04-12,17571.34,17721.25,1
"59",2016-04-11,17586.48,17556.41,0
"60",2016-04-08,17555.39,17576.96,1
"61",2016-04-07,17687.28,17541.96,0
"62",2016-04-06,17605.45,17716.05,1
"63",2016-04-05,17718.03,17603.32,0
"64",2016-04-04,17799.39,17737,0
"65",2016-04-01,17661.74,17792.75,1
"66",2016-03-31,17716.05,17685.09,0
"67",2016-03-30,17652.36,17716.66,1
"68",2016-03-29,17512.58,17633.11,1
"69",2016-03-28,17526.08,17535.39,1
"70",2016-03-24,17485.33,17515.73,1
"71",2016-03-23,17588.81,17502.59,0
"72",2016-03-22,17602.71,17582.57,0
"73",2016-03-21,17589.7,17623.87,1
"74",2016-03-18,17481.49,17602.3,1
"75",2016-03-17,17321.38,17481.49,1
"76",2016-03-16,17249.34,17325.76,1
"77",2016-03-15,17217.15,17251.53,1
"78",2016-03-14,17207.49,17229.13,1
"79",2016-03-11,17014.99,17213.31,1
"80",2016-03-10,17006.05,16995.13,0
"81",2016-03-09,16969.17,17000.36,1
"82",2016-03-08,17050.67,16964.1,0
"83",2016-03-07,16991.29,17073.95,1
"84",2016-03-04,16945,17006.77,1
"85",2016-03-03,16896.17,16943.9,1
"86",2016-03-02,16851.17,16899.32,1
"87",2016-03-01,16545.67,16865.08,1
"88",2016-02-29,16634.15,16516.5,0
"89",2016-02-26,16712.7,16639.97,0
"90",2016-02-25,16504.38,16697.29,1
"91",2016-02-24,16418.84,16484.99,1
"92",2016-02-23,16610.39,16431.78,0
"93",2016-02-22,16417.13,16620.66,1
"94",2016-02-19,16410.96,16391.99,0
"95",2016-02-18,16483.76,16413.43,0
"96",2016-02-17,16217.98,16453.83,1
"97",2016-02-16,16012.39,16196.41,1
"98",2016-02-12,15691.62,15973.84,1
"99",2016-02-11,15897.82,15660.18,0
"100",2016-02-10,16035.61,15914.74,0
"101",2016-02-09,16005.41,16014.38,1
"102",2016-02-08,16147.51,16027.05,0
"103",2016-02-05,16417.95,16204.83,0
"104",2016-02-04,16329.67,16416.58,1
"105",2016-02-03,16186.2,16336.66,1
"106",2016-02-02,16420.21,16153.54,0
"107",2016-02-01,16453.63,16449.18,0
"108",2016-01-29,16090.26,16466.3,1
"109",2016-01-28,15960.28,16069.64,1
"110",2016-01-27,16168.74,15944.46,0
"111",2016-01-26,15893.16,16167.23,1
"112",2016-01-25,16086.46,15885.22,0
"113",2016-01-22,15921.1,16093.51,1
"114",2016-01-21,15768.87,15882.68,1
"115",2016-01-20,15989.45,15766.74,0
"116",2016-01-19,16009.45,16016.02,1
"117",2016-01-15,16354.33,15988.08,0
"118",2016-01-14,16159.01,16379.05,1
"119",2016-01-13,16526.63,16151.41,0
"120",2016-01-12,16419.11,16516.22,1
"121",2016-01-11,16358.71,16398.57,1
"122",2016-01-08,16519.17,16346.45,0
"123",2016-01-07,16888.36,16514.1,0
"124",2016-01-06,17154.83,16906.51,0
"125",2016-01-05,17147.5,17158.66,1
"126",2016-01-04,17405.48,17148.94,0
"127",2015-12-31,17590.66,17425.03,0
"128",2015-12-30,17711.94,17603.87,0
"129",2015-12-29,17547.37,17720.98,1
"130",2015-12-28,17535.66,17528.27,0
"131",2015-12-24,17593.26,17552.17,0
"132",2015-12-23,17427.63,17602.61,1
"133",2015-12-22,17253.55,17417.27,1
"134",2015-12-21,17154.94,17251.62,1
"135",2015-12-18,17495.04,17128.55,0
"136",2015-12-17,17756.54,17495.84,0
"137",2015-12-16,17530.85,17749.09,1
"138",2015-12-15,17374.78,17524.91,1
"139",2015-12-14,17277.11,17368.5,1
"140",2015-12-11,17574.75,17265.21,0
"141",2015-12-10,17493.17,17574.75,1
"142",2015-12-09,17558.18,17492.3,0
"143",2015-12-08,17703.99,17568,0
"144",2015-12-07,17845.49,17730.51,0
"145",2015-12-04,17482.68,17847.63,1
"146",2015-12-03,17741.57,17477.67,0
"147",2015-12-02,17883.14,17729.68,0
"148",2015-12-01,17719.72,17888.35,1
"149",2015-11-30,17802.84,17719.92,0
"150",2015-11-27,17806.04,17798.49,0
"151",2015-11-25,17820.81,17813.39,0
"152",2015-11-24,17770.9,17812.19,1
"153",2015-11-23,17823.61,17792.68,0
"154",2015-11-20,17732.75,17823.81,1
"155",2015-11-19,17739.83,17732.75,0
"156",2015-11-18,17485.49,17737.16,1
"157",2015-11-17,17486.99,17489.5,1
"158",2015-11-16,17229.94,17483.01,1
"159",2015-11-13,17439.25,17245.24,0
"160",2015-11-12,17691.93,17448.07,0
"161",2015-11-11,17769.5,17702.22,0
"162",2015-11-10,17724.13,17758.21,1
"163",2015-11-09,17900.78,17730.48,0
"164",2015-11-06,17855.22,17910.33,1
"165",2015-11-05,17871.25,17863.43,0
"166",2015-11-04,17929.58,17867.58,0
"167",2015-11-03,17819.74,17918.15,1
"168",2015-11-02,17672.62,17828.76,1
"169",2015-10-30,17756.6,17663.54,0
"170",2015-10-29,17771.5,17755.8,0
"171",2015-10-28,17586.69,17779.52,1
"172",2015-10-27,17608.89,17581.43,0
"173",2015-10-26,17649.57,17623.05,0
"174",2015-10-23,17525.11,17646.7,1
"175",2015-10-22,17180.88,17489.16,1
"176",2015-10-21,17225.93,17168.61,0
"177",2015-10-20,17228.47,17217.11,0
"178",2015-10-19,17209.43,17230.54,1
"179",2015-10-16,17141.75,17215.97,1
"180",2015-10-15,16944.86,17141.75,1
"181",2015-10-14,17079.08,16924.75,0
"182",2015-10-13,17113.55,17081.89,0
"183",2015-10-12,17082.29,17131.86,1
"184",2015-10-09,17054.69,17084.49,1
"185",2015-10-08,16904.17,17050.75,1
"186",2015-10-07,16805.42,16912.29,1
"187",2015-10-06,16774.02,16790.19,1
"188",2015-10-05,16502.1,16776.43,1
"189",2015-10-02,16258.25,16472.37,1
"190",2015-10-01,16278.62,16272.01,0
"191",2015-09-30,16057.08,16284.7,1
"192",2015-09-29,16001.76,16049.13,1
"193",2015-09-28,16313.26,16001.89,0
"194",2015-09-25,16205.07,16314.67,1
"195",2015-09-24,16257.11,16201.32,0
"196",2015-09-23,16332.81,16279.89,0
"197",2015-09-22,16477.45,16330.47,0
"198",2015-09-21,16406.1,16510.19,1
"199",2015-09-18,16674.74,16384.79,0
"200",2015-09-17,16738.08,16674.74,0
"201",2015-09-16,16599.51,16739.95,1
"202",2015-09-15,16382.58,16599.85,1
"203",2015-09-14,16450.86,16370.96,0
"204",2015-09-11,16330.4,16433.09,1
"205",2015-09-10,16252.57,16330.4,1
"206",2015-09-09,16505.04,16253.57,0
"207",2015-09-08,16109.93,16492.68,1
"208",2015-09-04,16371.76,16102.38,0
"209",2015-09-03,16364.34,16374.76,1
"210",2015-09-02,16058.35,16351.38,1
